858, 911, 858, 961, 1035, 961, 1035, 911, works
624, 907, 624, 961, 732, 961, 732, 907, guy
735, 907, 735, 961, 858, 961, 858, 907, who
756, 830, 756, 887, 912, 887, 912, 830, caller
1080, 904, 1080, 965, 1236, 965, 1236, 904, Hotel
1227, 901, 1227, 961, 1455, 961, 1455, 901, Colbert.
1116, 826, 1116, 891, 1365, 891, 1365, 826, annoyed
462, 911, 462, 961, 624, 961, 624, 911, some
636, 830, 636, 887, 753, 887, 753, 830, last
912, 837, 912, 891, 1122, 891, 1122, 837, seemed
534, 830, 534, 891, 648, 891, 648, 830, The
