1179, 914, 1179, 961, 1413, 961, 1413, 914, meeting.
555, 911, 555, 965, 699, 965, 699, 911, clear
918, 830, 918, 880, 1056, 880, 1056, 830, walk
1107, 833, 1107, 884, 1218, 884, 1218, 833, the
1206, 826, 1206, 887, 1350, 887, 1350, 826, park
942, 911, 942, 961, 1182, 961, 1182, 911, after the
537, 830, 537, 891, 666, 891, 666, 830, She
660, 826, 660, 884, 804, 884, 804, 826, went
708, 907, 708, 965, 810, 965, 810, 907, her
795, 837, 795, 897, 906, 897, 906, 837, for a
1041, 830, 1041, 891, 1137, 891, 1137, 830, ###
