555, 904, 555, 961, 699, 961, 699, 904, Fixed
867, 911, 867, 965, 1014, 965, 1014, 911, pipes
660, 830, 660, 891, 864, 891, 864, 830, Brother.
1170, 820, 1170, 891, 1332, 891, 1332, 820, three.
1179, 901, 1179, 968, 1371, 968, 1371, 901, tunnel.
759, 907, 759, 965, 867, 965, 867, 907, the
1044, 830, 1044, 887, 1185, 887, 1185, 830, were
885, 830, 885, 887, 1041, 887, 1041, 830, There
555, 837, 555, 894, 648, 894, 648, 837, Big
1008, 907, 1008, 965, 1086, 965, 1086, 907, in
1086, 907, 1086, 961, 1182, 961, 1182, 907, the
