978, 914, 978, 958, 1170, 958, 1170, 914, scared
861, 918, 861, 961, 984, 961, 984, 918, was.
654, 914, 654, 961, 861, 961, 861, 914, Laurent
573, 820, 573, 884, 750, 884, 750, 820, I don’t
1029, 830, 1029, 887, 1284, 887, 1284, 830, L'Ouvreur
552, 911, 552, 965, 648, 965, 648, 911, but
738, 826, 738, 884, 885, 884, 885, 826, know
891, 833, 891, 884, 1011, 884, 1011, 833, who
1239, 911, 1239, 961, 1359, 961, 1359, 911, him.
1284, 840, 1284, 897, 1359, 897, 1359, 840, is
1161, 911, 1161, 955, 1257, 955, 1257, 911, of
