840, 914, 840, 961, 1086, 961, 1086, 914, tranches
549, 826, 549, 887, 729, 887, 729, 826, which
1098, 918, 1098, 961, 1248, 961, 1248, 918, over a
810, 833, 810, 887, 930, 887, 930, 833, then
924, 833, 924, 891, 1077, 891, 1077, 833, drew
1266, 911, 1266, 961, 1407, 961, 1407, 911, year.
513, 901, 513, 961, 753, 961, 753, 901, 15K and
711, 833, 711, 891, 807, 891, 807, 833, the
1251, 830, 1251, 891, 1365, 891, 1365, 830, 10K,
1068, 833, 1068, 884, 1170, 884, 1170, 833, out
1170, 833, 1170, 887, 1230, 887, 1230, 833, in
714, 907, 714, 961, 858, 961, 858, 907, 20K
