600, 907, 600, 958, 861, 958, 861, 907, obsessed
1026, 901, 1026, 968, 1203, 968, 1203, 901, hatred
744, 830, 744, 891, 954, 891, 954, 830, speaks
1284, 911, 1284, 965, 1452, 965, 1452, 911, Jews.
843, 907, 843, 968, 939, 968, 939, 907, by
669, 833, 669, 887, 756, 887, 756, 833, he
1194, 904, 1194, 965, 1299, 965, 1299, 904, for
1035, 823, 1035, 897, 1245, 897, 1245, 823, English
462, 911, 462, 965, 579, 965, 579, 911, he's
1236, 826, 1236, 887, 1359, 887, 1359, 826, and
927, 904, 927, 965, 1032, 965, 1032, 904, his
930, 833, 930, 894, 1044, 894, 1044, 833, no
