1065, 826, 1065, 887, 1302, 887, 1302, 826, dumped
1050, 911, 1050, 961, 1188, 961, 1188, 911, were
1197, 901, 1197, 958, 1383, 958, 1383, 901, taken?
663, 904, 663, 961, 852, 961, 852, 904, before
627, 833, 627, 891, 756, 891, 756, 833, after
759, 833, 759, 891, 855, 891, 855, 833, the
936, 901, 936, 958, 1044, 958, 1044, 901, kids
537, 907, 537, 961, 654, 961, 654, 907, and
942, 833, 942, 891, 1068, 891, 1068, 833, was
825, 904, 825, 965, 933, 965, 933, 904, the
855, 840, 855, 891, 948, 891, 948, 840, car
