555, 826, 555, 884, 720, 884, 720, 826, Weird
1155, 914, 1155, 961, 1323, 961, 1323, 914, world.
1191, 833, 1191, 891, 1365, 891, 1365, 833, online
1038, 911, 1038, 961, 1143, 961, 1143, 911, real
588, 914, 588, 961, 696, 961, 696, 914, and
717, 911, 717, 958, 813, 958, 813, 911, can't
1098, 833, 1098, 891, 1200, 891, 1200, 833, live
957, 904, 957, 955, 1059, 955, 1059, 904, the
798, 911, 798, 958, 936, 958, 936, 911, see
783, 833, 783, 891, 960, 891, 960, 833, people
699, 833, 699, 894, 789, 894, 789, 833, is
